YEAR   CanESM5   CNRM-ESM2-1   IPSL-CM6A-LR   MIROC-ES2L   UKESM1-0-LL 
1951.00 286.8980 286.7390 286.2900 288.1910 286.6120 
1952.00 286.8670 286.7500 286.2810 288.3250 286.6220 
1953.00 286.8680 286.7140 286.2840 288.5710 286.5460 
1954.00 286.8790 286.7740 286.2690 288.4260 286.5850 
1955.00 286.8790 286.8280 286.3130 288.2870 286.5370 
1956.00 286.8710 286.7480 286.3090 288.3570 286.5200 
1957.00 286.8990 286.8760 286.3610 288.4620 286.5470 
1958.00 286.9140 286.8850 286.3470 288.4760 286.5770 
1959.00 286.9410 286.8330 286.3130 288.2500 286.5390 
1960.00 286.9230 286.8270 286.3500 288.2550 286.5270 
1961.00 286.9340 286.9020 286.3340 288.3710 286.4810 
1962.00 286.8990 286.8160 286.3100 288.3340 286.4980 
1963.00 286.8100 286.7650 286.2730 288.2580 286.4220 
1964.00 286.7390 286.7150 286.1620 288.1380 286.3040 
1965.00 286.7630 286.7500 286.1840 288.1680 286.3110 
1966.00 286.7510 286.8300 286.2710 288.3320 286.3500 
1967.00 286.7020 286.8370 286.3310 288.3190 286.3110 
1968.00 286.7770 286.8150 286.3190 288.2380 286.2810 
1969.00 286.8090 286.8900 286.3300 288.3200 286.2920 
1970.00 286.8270 286.8080 286.3330 288.2940 286.3340 
1971.00 286.8380 286.8290 286.3200 288.2740 286.3640 
1972.00 286.8130 286.8070 286.3630 288.2680 286.3840 
1973.00 286.8570 286.8090 286.3810 288.2100 286.3540 
1974.00 286.9140 286.8750 286.3790 288.3710 286.3750 
1975.00 286.8600 286.8090 286.3510 288.5200 286.3450 
1976.00 286.8690 286.8790 286.3640 288.3960 286.3430 
1977.00 286.8980 286.9530 286.3650 288.1960 286.3770 
1978.00 286.9690 286.9370 286.4000 288.2520 286.4130 
1979.00 287.0030 286.8910 286.4520 288.4310 286.4860 
1980.00 287.0660 286.9480 286.4910 288.5610 286.5130 
1981.00 287.0740 286.9510 286.5020 288.4210 286.5200 
1982.00 287.0620 286.9600 286.5240 288.3070 286.5330 
1983.00 286.9840 286.8960 286.4050 288.3330 286.4590 
1984.00 287.0770 286.9200 286.4650 288.3830 286.5150 
1985.00 287.1500 286.9540 286.5070 288.4980 286.5040 
1986.00 287.1500 287.0720 286.5530 288.5340 286.5510 
