YEAR  ACCESS-ESM1.5  CanESM5  CESM2  CNRM-ESM2-1  IPSL-CM6A-LR  MIROC-ES2L  MPI-ESM1.2-LR  NorESM2-LM  UKESM1-0-LL 
1902.00 287.7350 286.6250 287.2860 286.7620 286.0370 288.3050 286.7310 287.6030 286.5510  
1903.00 287.6390 286.4490 287.1170 286.6700 285.8560 287.9930 286.6150 287.5420 286.3860  
1904.00 287.5540 286.4790 287.1210 286.7220 285.9200 288.1180 286.6080 287.6380 286.3760  
1905.00 287.6010 286.5430 287.1670 286.6770 285.9700 288.1530 286.6420 287.6280 286.4360  
1906.00 287.6800 286.5530 287.2120 286.7220 285.9930 288.0960 286.6880 287.6990 286.4860  
1907.00 287.7470 286.5560 287.1930 286.8110 286.0030 288.1510 286.6690 287.6160 286.4420  
1908.00 287.7560 286.5930 287.1960 286.7600 286.0290 288.1820 286.6950 287.6700 286.4810  
1909.00 287.7570 286.5900 287.2000 286.8040 286.0090 288.1940 286.6840 287.8160 286.4370  
1910.00 287.7650 286.5960 287.2040 286.7870 286.0440 288.2940 286.7480 287.6510 286.4650  
1911.00 287.8470 286.6680 287.2470 286.8630 286.0670 288.3190 286.7680 287.5920 286.5380  
1912.00 287.7550 286.5890 287.1280 286.6970 286.0030 288.1790 286.6610 287.5590 286.4650  
1913.00 287.6610 286.5250 287.1300 286.7180 285.9650 288.0230 286.6580 287.5810 286.4310  
1914.00 287.7450 286.5430 287.1650 286.6970 286.0010 288.0940 286.7080 287.4790 286.4140  
1915.00 287.7550 286.6380 287.1630 286.7460 286.0190 288.2610 286.7340 287.6300 286.4410  
1916.00 287.8270 286.5990 287.2110 286.7530 286.0030 288.2490 286.7690 287.6550 286.4870  
1917.00 287.7260 286.6720 287.2250 286.8260 286.0840 288.2180 286.7190 287.5780 286.4530  
1918.00 287.6470 286.7100 287.2480 286.7870 286.1120 288.1120 286.6890 287.6960 286.5220  
1919.00 287.6070 286.7270 287.2450 286.8060 286.1310 288.2480 286.7770 287.8470 286.5130  
1920.00 287.5810 286.7130 287.2780 286.7930 286.1160 288.3710 286.8200 287.8920 286.5110  
1921.00 287.6430 286.7200 287.2680 286.8610 286.1230 288.1860 286.8320 287.7930 286.5060  
1922.00 287.6100 286.7990 287.2930 286.8210 286.0990 288.1740 286.8220 287.8800 286.5510  
1923.00 287.6040 286.7670 287.3340 286.8140 286.0950 288.1920 286.8220 287.9180 286.5400  
1924.00 287.6760 286.7360 287.3210 286.8030 286.1320 288.3430 286.8370 287.8830 286.5630  
1925.00 287.7820 286.7840 287.3910 286.7760 286.1400 288.3010 286.8500 287.9040 286.5760  
1926.00 287.7650 286.7810 287.3570 286.8330 286.1550 288.2180 286.8970 287.7970 286.5810  
1927.00 287.8230 286.8010 287.3050 286.8570 286.1800 288.2660 286.9130 287.8980 286.5660  
1928.00 287.8080 286.8160 287.3700 286.9180 286.2130 288.2960 286.8810 287.9470 286.5320  
1929.00 287.6600 286.7830 287.3650 286.8520 286.1560 288.4030 286.9140 287.8920 286.4730  
1930.00 287.7790 286.7670 287.3070 286.8270 286.1590 288.4120 286.8930 287.8760 286.5690  
1931.00 287.7580 286.7760 287.3540 286.9140 286.1880 288.2040 286.8290 287.7980 286.5290  
1932.00 287.8020 286.8150 287.3550 286.8120 286.1940 288.2120 286.8230 287.7550 286.5260  
1933.00 287.7290 286.8040 287.4220 286.7950 286.1830 288.2220 286.8830 287.6390 286.5570  
1934.00 287.7360 286.7840 287.4200 286.8180 286.1860 288.3190 286.8820 287.7320 286.5490  
1935.00 287.8090 286.7980 287.4010 286.7250 286.1880 288.4330 286.8210 287.9220 286.5210  
1936.00 287.7780 286.7920 287.3610 286.8430 286.2080 288.3480 286.8610 288.0470 286.5500  
1937.00 287.7640 286.8440 287.4020 286.7810 286.2100 288.2640 286.9010 287.8410 286.5670  
1938.00 287.7400 286.8670 287.4000 286.8680 286.2120 288.3400 286.9300 287.8140 286.5670  
1939.00 287.7590 286.8860 287.3770 286.7400 286.2190 288.5140 286.9030 287.8500 286.5930  
1940.00 287.7000 286.8820 287.4020 286.8190 286.2160 288.5830 286.9000 287.8740 286.5630  
1941.00 287.6900 286.8750 287.3690 286.8160 286.2330 288.3280 286.9080 287.7780 286.5490  
1942.00 287.6900 286.8830 287.4400 286.7990 286.2250 288.2580 286.9710 287.6430 286.5440  
1943.00 287.7290 286.8670 287.4910 286.7420 286.2330 288.2680 286.9630 287.7140 286.5560  
1944.00 287.7660 286.8780 287.3870 286.8330 286.2420 288.5500 286.9250 287.7710 286.6140  
1945.00 287.7960 286.8390 287.3670 286.7950 286.2370 288.5480 286.9090 287.7230 286.6150  
1946.00 287.7080 286.8720 287.4490 286.7680 286.2390 288.3580 286.9220 287.8170 286.6220  
1947.00 287.7780 286.8880 287.3270 286.8260 286.2870 288.3070 286.9300 287.8040 286.5930  
1948.00 287.8390 286.8680 287.2960 286.8340 286.3340 288.4670 286.9280 287.8380 286.5960  
1949.00 287.7830 286.8830 287.3700 286.8400 286.3100 288.5170 286.9000 287.8020 286.5630  
1950.00 287.7210 286.9360 287.4150 286.7790 286.3250 288.3190 286.9600 287.7640 286.5710  
1951.00 287.8440 286.8980 287.3990 286.7390 286.2900 288.1910 287.0550 287.6560 286.6120  
1952.00 287.8380 286.8670 287.4770 286.7500 286.2810 288.3250 286.9840 287.7590 286.6220  
1953.00 287.8440 286.8680 287.3680 286.7140 286.2840 288.5710 286.9420 287.6740 286.5460  
1954.00 287.8170 286.8790 287.3600 286.7740 286.2690 288.4260 286.9180 287.6620 286.5850  
1955.00 287.8210 286.8790 287.4490 286.8280 286.3130 288.2870 286.9350 287.7610 286.5370  
1956.00 287.8000 286.8710 287.3880 286.7480 286.3090 288.3570 286.9240 287.6570 286.5200  
1957.00 287.7430 286.8990 287.3690 286.8760 286.3610 288.4620 286.9550 287.6680 286.5470  
1958.00 287.7440 286.9140 287.3790 286.8850 286.3470 288.4760 286.9710 287.7320 286.5770  
1959.00 287.7700 286.9410 287.3810 286.8330 286.3130 288.2500 286.9840 287.7470 286.5390  
1960.00 287.7420 286.9230 287.3550 286.8270 286.3500 288.2550 287.0470 287.5650 286.5270  
