YEAR  CanESM5  CNRM-ESM2-1  IPSL-CM6A-LR  
2000.00 287.7060 287.2770 286.9390       
2001.00 287.7850 287.2990 286.9620       
2002.00 287.8540 287.2340 286.9440       
2003.00 287.8920 287.3130 286.9820       
2004.00 287.8940 287.3360 287.0160       
2005.00 287.8660 287.3370 287.0430       
2006.00 287.8980 287.3540 287.0680       
2007.00 287.8990 287.4420 287.0560       
2008.00 287.9720 287.4670 287.0790       
2009.00 288.0220 287.4340 287.1510       
2010.00 288.0800 287.4480 287.1670       
2011.00 288.1290 287.4900 287.2100       
2012.00 288.1810 287.5010 287.1870       
2013.00 288.2280 287.5530 287.2270       
2014.00 288.2900 287.4630 287.2760       
2015.00 288.4320 287.5820 287.3100       
2016.00 288.4020 287.6960 287.4290       
2017.00 288.4630 287.6960 287.5110       
2018.00 288.5470 287.7040 287.5160       
2019.00 288.5670 287.6450 287.5120       
2020.00 288.6260 287.8090 287.5400       
2021.00 288.7270 287.8690 287.5930       
2022.00 288.7480 287.8540 287.4840       
2023.00 288.7330 287.9540 287.5030       
2024.00 288.7930 287.9070 287.6720       
2025.00 288.8330 287.9230 287.7460       
2026.00 288.8720 288.0510 287.6820       
2027.00 289.0010 288.0500 287.6720       
2028.00 288.9740 288.0060 287.7780       
2029.00 288.9660 288.0770 287.7870       
2030.00 289.1340 288.0830 287.8160       
2031.00 289.1950 288.0100 287.7960       
2032.00 289.1920 288.0710 287.9100       
2033.00 289.2470 288.1350 287.9410       
2034.00 289.2870 288.1680 288.0280       
2035.00 289.3930 288.2100 288.0310       
2036.00 289.3680 288.2530 288.0920       
2037.00 289.4870 288.2850 288.0740       
2038.00 289.5230 288.3420 288.1170       
2039.00 289.5220 288.4020 288.0540       
2040.00 289.5940 288.4180 288.0660       
2041.00 289.6450 288.3740 288.2700       
2042.00 289.6820 288.4170 288.2510       
2043.00 289.7560 288.5210 288.2740       
2044.00 289.7750 288.5600 288.3820       
2045.00 289.7860 288.6030 288.4710       
2046.00 289.8770 288.5750 288.5100       
2047.00 289.9770 288.6010 288.6250       
2048.00 289.9870 288.6300 288.6710       
