YEAR  CanESM5  CNRM-ESM2-1  IPSL-CM6A-LR  UKESM1-0-LL 
1851.00 0.3248 0.1517 -0.3308 -0.1760      
1852.00 0.1864 -0.2179 -0.0589 0.1271      
1853.00 0.0517 0.3872 0.0225 -0.5332      
1854.00 0.2096 0.0365 -0.0165 -0.5368      
1855.00 -0.0822 0.1642 -0.0434 1.6239      
1856.00 0.1731 -0.2901 -0.0556 -0.1079      
1857.00 0.6976 0.4044 0.0205 -0.1645      
1858.00 0.3205 0.6292 0.2595 0.0529      
1859.00 0.1870 0.1036 0.0500 -0.1073      
1860.00 0.1591 0.1691 -0.0148 -0.2915      
1861.00 0.8181 0.7630 0.2573 0.6837      
1862.00 0.9076 1.1527 0.5249 1.4620      
1863.00 0.7213 0.6727 0.2198 0.6205      
1864.00 0.6745 -0.3200 0.1336 0.5779      
1865.00 0.7729 0.6018 0.2190 0.6115      
1866.00 0.3513 0.7263 0.5167 0.3423      
1867.00 0.5541 0.6174 0.1038 0.5397      
1868.00 0.7200 0.4862 0.2020 1.0164      
1869.00 0.5697 0.5602 0.1793 0.9496      
1870.00 0.6562 0.5735 0.3035 -0.1329      
1871.00 0.3474 0.3145 0.1271 0.2780      
1872.00 0.8335 0.3075 0.0787 -0.2782      
1873.00 1.0181 0.3182 0.2992 -0.1146      
1874.00 0.4940 1.0174 0.4478 0.6196      
1875.00 0.8634 0.9591 0.5984 0.9770      
1876.00 0.6121 1.0158 0.4857 0.6150      
1877.00 0.6655 0.9478 0.3111 0.1799      
1878.00 0.7350 0.4778 0.4903 0.2454      
1879.00 0.7195 1.1774 0.4681 1.1982      
1880.00 0.6365 0.4361 0.4265 0.9272      
1881.00 0.9425 0.5867 0.7278 0.3470      
1882.00 1.0245 0.9684 0.6142 1.5940      
1883.00 1.0605 1.5803 0.5072 0.9855      
1884.00 1.4477 1.3971 1.1478 1.3795      
1885.00 1.1211 1.4798 0.8631 1.0760      
1886.00 0.9710 1.0556 1.1405 1.4958      
1887.00 1.1733 1.4048 0.8745 0.6629      
1888.00 0.9717 1.3838 0.7641 0.1455      
1889.00 0.7377 1.7317 0.8739 0.3633      
1890.00 0.8647 1.2425 1.0614 0.8051      
1891.00 0.9513 1.6594 0.9721 0.7151      
1892.00 1.3261 1.3458 0.8612 0.4959      
1893.00 1.1969 0.6246 0.6383 0.4528      
1894.00 0.9177 1.2584 0.5993 1.0327      
1895.00 0.7400 1.5842 0.6336 1.3643      
1896.00 0.7285 0.9303 1.0510 1.5498      
1897.00 0.8066 0.4830 0.7271 0.6024      
1898.00 0.8898 1.1977 0.8317 -0.1290      
1899.00 1.0106 1.9246 1.0276 1.8712      
1900.00 1.2829 1.4408 1.1446 1.5640      
1901.00 1.1058 1.6332 0.8784 1.1553      
1902.00 0.8645 1.7411 0.9618 0.2148      
1903.00 0.8065 1.4947 1.1030 1.2438      
1904.00 1.0032 1.1597 0.8662 0.7150      
1905.00 0.9702 1.9468 1.1369 1.3062      
1906.00 0.8994 2.1855 1.2177 1.4013      
1907.00 1.2912 1.2159 1.2914 0.9468      
1908.00 0.8797 1.4794 1.1616 1.0846      
1909.00 1.2617 2.2913 1.4026 0.6985      
1910.00 1.2171 2.0492 1.3399 1.6949      
1911.00 0.8497 2.1456 1.3458 0.1684      
1912.00 1.0138 2.4198 1.5239 0.5851      
1913.00 1.9743 2.4691 1.5823 1.6933      
1914.00 1.4202 2.6466 1.6580 1.4533      
1915.00 1.0668 2.6516 1.6469 0.8085      
1916.00 1.5320 2.3057 1.9757 1.6687      
1917.00 1.6836 2.5278 1.7241 1.4325      
1918.00 1.1161 2.6261 1.3178 1.2476      
1919.00 1.2093 2.2314 1.1642 0.9286      
1920.00 1.4935 2.8734 1.6088 0.9478      
1921.00 1.1093 1.6872 1.5391 1.5166      
1922.00 0.9629 1.9979 1.3927 0.7741      
1923.00 1.0767 1.7713 1.4844 0.3892      
1924.00 1.5071 2.7105 1.3937 0.9510      
1925.00 0.5406 1.9295 0.9234 0.0356      
1926.00 0.5245 1.4969 0.8481 0.2875      
1927.00 0.5686 1.7838 1.0772 1.0394      
1928.00 0.7079 1.1133 0.5871 1.2183      
1929.00 0.5588 1.8117 0.9993 0.6654      
1930.00 0.2098 1.6776 0.8694 -1.4345      
1931.00 0.7076 0.9758 0.8347 1.1118      
1932.00 1.0093 2.0469 1.0650 1.7147      
1933.00 0.8027 1.9047 1.1711 0.8275      
1934.00 0.9936 1.7016 1.3820 1.1352      
1935.00 1.3325 2.2454 1.5092 1.7413      
1936.00 1.7928 2.2750 2.0762 1.9708      
1937.00 1.9744 2.6615 2.2243 1.7437      
1938.00 1.5098 2.4854 1.9903 1.5679      
1939.00 1.1560 2.9534 1.8479 0.7109      
1940.00 1.2058 2.5415 1.8218 1.2087      
1941.00 1.2282 2.5601 1.6199 1.8953      
1942.00 1.1075 1.9795 1.3429 0.9723      
1943.00 0.7870 2.4136 1.0937 0.6641      
1944.00 0.0094 1.4687 0.4985 -0.2973      
1945.00 0.0949 1.3276 0.4682 -0.3398      
1946.00 -0.0651 1.6301 0.6177 1.5533      
1947.00 0.1370 0.5548 0.4364 1.3027      
1948.00 0.1186 1.1418 0.1261 0.0633      
1949.00 0.1111 1.4759 0.5596 0.4247      
1950.00 -0.1795 1.6688 0.3887 0.3324      
1951.00 0.0341 2.0908 0.4492 -0.5938      
1952.00 0.7003 1.6337 0.9157 0.4192      
1953.00 0.9265 2.0369 0.8651 1.1045      
1954.00 0.8292 1.4992 1.0984 0.7939      
1955.00 0.3153 1.6821 0.7642 0.8826      
1956.00 0.4913 1.7338 0.5676 1.0168      
1957.00 0.4906 0.7488 0.4114 -0.0702      
1958.00 0.6887 1.8979 0.7760 0.4038      
1959.00 0.6065 1.9090 1.2063 0.9451      
1960.00 1.4860 3.1055 1.7544 1.0369      
1961.00 1.2802 2.7464 1.9155 2.1786      
1962.00 1.5652 3.3877 2.3427 1.6618      
1963.00 1.6717 3.3376 1.9043 1.4694      
1964.00 1.7535 3.7740 2.4595 3.0169      
1965.00 1.2187 2.7097 1.9650 2.1167      
1966.00 2.9689 4.3527 3.0468 2.4340      
1967.00 1.7419 2.8037 1.6800 2.2104      
1968.00 2.1795 4.0485 2.7767 2.6081      
1969.00 1.9539 3.6099 2.8820 2.2759      
1970.00 3.7513 6.3047 4.4095 3.9709      
1971.00 1.5866 4.1601 2.6689 1.7075      
