YEAR   CanESM5   CNRM-ESM2-1   IPSL-CM6A-LR   MIROC-ES2L   UKESM1-0-LL 
1950.00 -0.1795 1.6688 0.3887 -0.5908 0.3324 
1951.00 0.0341 2.0908 0.4492 0.9507 -0.5938 
1952.00 0.7003 1.6337 0.9157 0.8428 0.4192 
1953.00 0.9265 2.0369 0.8651 -0.3863 1.1045 
1954.00 0.8292 1.4992 1.0984 -0.7417 0.7939 
1955.00 0.3153 1.6821 0.7642 0.8010 0.8826 
1956.00 0.4913 1.7338 0.5676 0.7220 1.0168 
1957.00 0.4906 0.7488 0.4114 -0.2736 -0.0702 
1958.00 0.6887 1.8979 0.7760 -0.0132 0.4038 
1959.00 0.6065 1.9090 1.2063 1.2177 0.9451 
1960.00 1.4860 3.1055 1.7544 2.7165 1.0369 
1961.00 1.2802 2.7464 1.9155 1.7740 2.1786 
1962.00 1.5652 3.3877 2.3427 2.2398 1.6618 
1963.00 1.6717 3.3376 1.9043 4.0423 1.4694 
1964.00 1.7535 3.7740 2.4595 4.2971 3.0169 
1965.00 1.2187 2.7097 1.9650 3.1055 2.1167 
1966.00 2.9689 4.3527 3.0468 2.8203 2.4340 
1967.00 1.7419 2.8037 1.6800 1.6158 2.2104 
1968.00 2.1795 4.0485 2.7767 4.5143 2.6081 
1969.00 1.9539 3.6099 2.8820 4.1612 2.2759 
1970.00 3.7513 6.3047 4.4095 5.0893 3.9709 
1971.00 1.5866 4.1601 2.6689 3.5872 1.7075 
1972.00 4.7183 6.4781 5.3640 5.8832 4.6415 
1973.00 6.4027 8.5198 6.9878 8.7050 7.0262 
1974.00 2.8419 4.4163 3.3002 4.3371 3.4993 
1975.00 1.0433 2.8638 1.8675 2.3187 2.0303 
1976.00 2.6312 4.0836 3.0764 2.5190 2.9127 
1977.00 5.2392 6.4306 5.7539 7.3407 5.4979 
1978.00 4.5275 6.7015 5.3943 7.7034 4.5585 
1979.00 4.4712 6.2534 5.0519 7.2029 4.3069 
1980.00 5.3091 7.6501 6.2189 7.6251 5.6621 
1981.00 3.9071 5.4489 4.9673 5.1101 4.5960 
1982.00 2.4811 4.2202 3.3166 4.7276 2.8784 
1983.00 4.8916 6.4384 5.6575 7.4011 5.5581 
1984.00 4.8475 6.8929 5.8953 7.3901 5.0899 
1985.00 4.6627 6.2904 5.3371 7.2751 5.5426 
1986.00 4.7818 5.7960 5.3864 6.7864 4.5917 
1987.00 5.6912 7.7171 6.3296 8.2676 6.4491 
1988.00 6.9664 8.7636 7.8598 9.1248 8.5269 
1989.00 5.0712 7.0546 5.8250 8.3310 5.3645 
1990.00 4.0375 5.5556 5.0586 7.2556 4.6205 
1991.00 4.3250 6.6077 5.5118 6.3151 5.6877 
1992.00 4.5514 5.5887 4.7688 7.3626 5.9075 
1993.00 3.7591 5.7569 4.4127 6.1386 3.9011 
1994.00 5.1777 6.3990 5.8969 8.2639 5.0481 
1995.00 6.9381 8.4348 7.3861 9.1569 7.0276 
1996.00 6.3804 7.6684 6.8763 8.1648 6.1614 
1997.00 5.0328 6.3047 5.3914 5.5787 4.6506 
1998.00 8.4014 9.4452 9.0943 9.5599 7.8715 
1999.00 7.0100 8.3282 7.4821 9.1484 6.6148 
2000.00 5.0526 6.5977 5.6921 6.8754 6.0036 
2001.00 4.8768 6.7456 6.3148 6.5587 5.3475 
2002.00 6.1307 9.6805 8.1751 7.9802 6.4008 
2003.00 7.7346 9.6085 8.7978 10.0494 8.1897 
2004.00 6.0623 7.5269 6.7576 7.5662 6.4085 
2005.00 6.8202 8.2356 7.6806 7.6808 8.0355 
2006.00 7.4449 9.2012 8.0700 9.9457 7.7713 
2007.00 6.6019 7.6092 7.3147 8.0980 6.4918 
2008.00 7.3795 8.7517 8.6216 9.6865 7.6846 
2009.00 5.8645 7.7662 6.6456 8.2895 7.0466 
2010.00 8.0971 8.9433 8.3300 9.4250 9.1209 
2011.00 7.5245 8.7546 8.5384 9.3818 7.6579 
2012.00 6.9760 8.6051 8.5037 8.2584 7.1816 
2013.00 8.4459 10.0157 9.3118 10.1129 9.3371 
2014.00 6.6994 8.8648 7.6186 10.0475 6.6623 
2015.00 8.6434 9.8610 9.5406 8.0038 9.0726 
2016.00 10.6563 11.9001 11.0207 13.8974 9.9817 
2017.00 9.8460 10.9652 9.7886 13.4986 9.4712 
2018.00 10.9541 11.1952 11.5794 13.0553 10.1723 
2019.00 10.6551 11.3608 11.2877 12.4538 10.6417 
2020.00 10.6474 11.1377 10.9110 8.3563 9.9779 
2021.00 11.1521 11.1311 11.5704 11.2741 10.9536 
2022.00 10.9505 11.6464 10.3722 12.6512 10.6767 
2023.00 10.4327 10.5495 10.1827 11.9047 10.1829 
2024.00 9.9825 9.7731 9.5587 10.7027 8.6912 
2025.00 10.0522 10.1165 9.6171 9.2609 7.7296 
2026.00 9.4702 9.2987 9.3076 6.2935 8.2398 
2027.00 9.2352 8.8807 9.0642 9.9251 7.4796 
2028.00 8.2339 8.9822 7.5046 9.7705 7.6214 
2029.00 7.6500 7.7959 7.8697 8.3902 7.1150 
2030.00 7.5981 7.8484 6.9622 7.2929 6.4298 
2031.00 7.7157 7.4036 6.1759 4.1475 6.5584 
2032.00 7.0419 6.7323 8.1508 6.0730 5.2601 
2033.00 6.5409 6.5237 6.0704 7.1844 5.8368 
2034.00 6.8532 5.3768 5.0241 5.7887 5.1284 
2035.00 5.8211 5.2323 6.4051 4.2500 5.5212 
2036.00 5.6918 6.4971 6.2930 2.5803 4.2473 
2037.00 5.6907 4.4177 4.5967 3.8030 2.8881 
2038.00 4.6659 4.6217 5.2207 4.1984 4.0034 
2039.00 3.7887 4.3427 3.5064 4.8482 3.6424 
2040.00 4.6039 4.0215 3.2943 4.3332 3.0860 
